ACCOUNTNUMBER,ADDR_MAILING_NAME,ADDR_ADDRESS_1,ADDR_CITY,ADDR_STATE,ADDR_ZIP_CODE,CIBL_INVOICE,CIBL_BILLING_DATE,CIBL_CLASS1,CIBL_AMT_5,CIBL_AMT_95,PREM-TAX-PARCEL-ID,CIBL_COMMENTS,CIBL_DUE_DATE
000200000100,SMITH JOHN,100 MAIN STREET,WILMINGTON,DE,19801,30000001,20260501,0000000110,150.00,0.00,2600000001,IT26000001,05312026
000200000200,DOE JANE,200 OAK AVENUE,WILMINGTON,DE,19802,30000002,20260501,0000000110,250.00,0.00,2600000002,VO-20001,05312026
000200000300,GARCIA MARIA,300 ELM ROAD,NEWARK,DE,19711,30000003,20260501,0000000110,75.50,0.00,2600000003,PM-30001,05312026
000200000400,JOHNSON ROBERT,400 PINE LANE,DOVER,DE,19901,30000004,20260501,0000000110,2000.00-,0.00,2600000004,IT26000004,05312026
000200000500,BROWN MICHAEL,500 BIRCH COURT,WILMINGTON,DE,19803,30000005,20260501,0000000110,50.00-,0.00,2600000005,VAC-40001,05312026
000200000600,WILLIAMS DAVID,600 CEDAR DRIVE,NEWARK,DE,19712,30000006,20260501,0000000110,500.00,0.00,2600000006,VP BILL #: 27099999,05312026
000200000700,MILLER SARAH,700 MAPLE BLVD,DOVER,DE,19902,30000007,20260501,0000000110,300.00,0.00,2600000007,penalty removal,05312026
000200000800,DAVIS LINDA,800 WALNUT WAY,WILMINGTON,DE,19804,30000008,20260501,0000000110,1200.00,0.00,2600000008,IT26000008,05312026
000200000800,DAVIS LINDA,800 WALNUT WAY,WILMINGTON,DE,19804,30000008,20260501,0000000110,1200.00,0.00,2600000008,IT26000008,05312026
000200001000,WILSON JAMES,1000 ASH PLACE,NEWARK,DE,19713,30000010,20260501,0000000110,425.75,0.00,2600000010,IT26000010,05312026
