ACCOUNTNUMBER,ADDR_MAILING_NAME,ADDR_ADDRESS_1,ADDR_CITY,ADDR_STATE,ADDR_ZIP_CODE,CIBL_INVOICE,CIBL_BILLING_DATE,CIBL_CLASS1,CIBL_AMT_5,CIBL_AMT_95,PREM-TAX-PARCEL-ID,CIBL_COMMENTS,CIBL_DUE_DATE
000300000100,ANDERSON CHRIS,100 FIRST STREET,DOVER,DE,19901,40000001,20260601,0000000110,100.00,0.00,2700000001,IT26000101,06302026
000300000200,BAKER PAT,200 SECOND STREET,NEWARK,DE,19711,40000002,20260601,0000000110,200.00,0.00,2700000002,VO-30001,06302026
000300000300,CARTER LEE,300 THIRD AVENUE,WILMINGTON,DE,19802,40000003,20260601,0000000110,300.00,0.00,2700000003,PM-40001,06302026
000300000400,DUNN ALEX,400 FOURTH AVENUE,DOVER,DE,19902,40000004,20260601,0000000110,400.00,2000.00-,2700000004,IT26000104,06302026
000300000500,EVANS SAM,500 FIFTH ROAD,NEWARK,DE,19712,40000005,20260601,0000000110,500.00,50.00-,2700000005,VAC-50001,06302026
000300000600,FRANK JORDAN,600 SIXTH ROAD,WILMINGTON,DE,19803,40000006,20260601,0000000110,600.00,0.00,2700000006,VP BILL #: 28099999,06302026
000300000700,GREEN TAYLOR,700 SEVENTH LANE,DOVER,DE,19903,40000007,20260601,0000000110,700.00,0.00,2700000007,penalty removal,06302026
000300000800,HALL MORGAN,800 EIGHTH LANE,NEWARK,WILMINGTON,19713,40000008,20260601,0000000110,800.00,0.00,2700000008,IT26000108,06302026
000300000900,INMAN RILEY,900 NINTH COURT,WILMINGTON,DE,19804,40000009,20260601,0000000110,900.00,0.00,2700000009,IT26000109,06302026
000300000200,BAKER PAT,200 SECOND STREET,NEWARK,DE,19711,40000002,20260601,0000000110,200.00,0.00,2700000002,VO-30001,06302026
000300001100,KING DANA,1100 ELEVENTH DRIVE,DOVER,DE,19905,40000011,20260601,0000000110,1100.00,0.00,2700000011,IT26000111,06302026
